1716.9,2191.2,-0.9,0.02
258.1,189.0,5.9,0.3533334
257.8,198.6,4.0,0.413401
256.7,198.6,4.0,0.4311973
257.8,198.6,4.0,0.4405876
260.1,198.6,4.0,0.4496963
259.3,198.6,4.0,0.4689866
261.7,198.6,4.0,0.4911777
260.4,198.6,4.0,0.5119894
262.8,198.6,4.0,0.5343009
264.6,198.6,4.0,0.5697712
265.0,198.6,4.0,0.5783926
265.1,198.6,4.0,0.5913836
260.8,198.6,4.0,0.6106107
207.9,168.7,4.2,0.9476709
149.8,183.0,5.9,0.9698926
155.2,190.1,5.9,0.9902765
152.1,198.8,5.9,1.009536
150.2,211.2,5.9,1.02826
149.3,209.1,5.9,1.047257
152.2,209.2,5.9,1.067329
153.2,197.8,5.9,1.087339
150.4,195.8,5.9,1.108579
150.5,194.9,5.9,1.127154
147.5,195.1,5.9,1.147571
144.1,191.0,5.9,1.167804
144.5,191.3,5.9,1.188672
147.3,190.9,5.9,1.208577
144.0,186.3,5.9,1.227103
140.7,194.5,5.9,1.247381
143.3,193.4,5.9,1.26534
135.2,206.9,5.9,1.282425
148.7,195.7,5.9,1.300033
256.4,198.6,4.0,1.318154
265.3,198.6,4.0,1.334735
265.3,198.6,4.0,1.356172
265.3,198.6,4.0,1.378072
260.3,196.1,4.0,1.400286
262.3,195.7,4.0,1.422567
265.3,198.6,4.0,1.456016
261.7,198.6,4.0,1.489326
261.1,196.8,4.0,1.522677
265.3,198.6,4.0,1.55593
265.3,198.6,4.0,1.589255
265.3,198.6,4.0,1.622426
265.3,198.6,4.0,1.655887
265.3,198.3,4.0,1.68942
265.3,191.4,4.0,1.722636
265.3,189.4,4.0,1.755716
265.3,189.1,4.0,1.789201
265.3,192.9,4.0,1.822393
265.3,198.6,4.0,1.855941
265.3,198.6,4.0,1.889054
265.3,198.6,4.0,1.922481
265.3,193.6,4.0,1.955832
265.3,195.5,4.0,1.989103
276.0,172.8,4.1,2.022162
351.8,167.3,3.9,2.089141
362.2,170.3,4.1,2.122296
368.3,171.0,4.1,2.155739
362.9,172.0,4.2,2.188976
376.4,179.2,5.9,2.211092
365.5,172.5,4.2,2.233359
369.2,173.0,4.2,2.255605
368.0,173.2,4.2,2.27772
365.9,170.9,4.1,2.30003
356.2,168.1,3.9,2.322095
326.4,174.2,3.9,2.344975
268.1,161.7,3.8,2.366311
235.9,170.0,4.0,2.388877
246.4,192.5,4.0,2.410908
235.9,170.0,4.0,2.43324
235.9,170.0,4.0,2.455467
246.4,191.8,4.0,2.477597
246.4,197.4,4.0,2.499754
153.5,183.1,5.9,2.522127
195.3,172.6,4.6,2.544279
143.9,245.9,5.9,2.747779
136.6,232.8,5.9,2.770089
140.9,228.2,5.9,2.792527
139.4,225.4,5.9,2.814579
134.9,228.9,5.9,2.836619
135.0,230.9,5.9,2.858474
129.2,195.5,5.9,2.880939
123.2,198.8,5.9,2.903143
125.0,192.0,5.9,2.925058
132.8,199.9,5.9,2.947575
134.5,202.4,5.9,2.969855
249.9,163.3,3.9,3.236185
249.8,170.0,4.0,3.258411
251.2,162.5,3.9,3.280585
250.2,170.0,4.0,3.302874
253.3,162.5,3.9,3.325119
255.5,170.0,4.0,3.347154
261.2,198.6,4.0,3.369281
256.9,191.4,4.0,3.391544
254.4,190.3,4.0,3.414103
254.1,189.1,4.0,3.436504
254.3,189.6,4.0,3.458406
253.3,188.9,4.0,3.480228
253.1,189.1,4.0,3.502797
252.3,189.3,4.0,3.524883
252.1,189.4,4.0,3.54706
251.3,189.5,4.0,3.569421
250.5,189.4,4.0,3.591803
259.8,170.0,4.0,3.613653
276.8,157.6,3.7,3.635961
277.1,157.6,3.7,3.65859
275.5,160.8,3.8,3.680329
276.0,160.8,3.8,3.702834
277.7,157.6,3.7,3.724537
277.5,157.6,3.7,3.746641
275.8,157.8,3.7,3.768949
279.3,157.6,3.7,3.791241
276.8,160.8,3.8,3.813604
274.7,160.8,3.8,3.835723
