341.3536,195.9741
277.1884,209.886
386.1617,228.0332
385.9839,228.1041
385.9413,228.16
385.891,228.1794
385.6847,227.9956
385.6687,227.9733
385.6594,227.9783
385.6769,227.9839
385.7101,228.0025
385.7912,228.0012
385.8899,227.9968
385.8925,228.0074
386.1738,227.9646
386.1748,227.9663
386.3869,227.8629
386.6675,227.7413
386.8304,227.712
386.9833,227.6634
386.9811,227.6636
387.4209,227.5992
387.4201,227.5994
387.7704,227.6079
388.0838,227.6509
388.3441,227.698
388.5912,227.7417
388.5916,227.7415
389.2755,227.8245
389.2765,227.8235
389.9257,227.8996
389.9269,227.9002
388.3893,227.9982
388.3907,227.9986
389.0743,228.0582
389.589,228.0786
388.4773,229.0748
388.9134,229.1223
389.4094,229.168
389.4117,229.1689
389.7208,229.8407
390.1579,229.8191
390.1599,229.8195
390.1692,225.9643
390.2343,225.7789
390.4326,228.3971
389.7493,230.174
390.1274,230.1573
390.1299,230.1577
266.6254,288.0215
265.8784,285.2521
268.015,288.283
265.9776,287.8996
265.5598,285.154
268.2726,288.3314
274.3933,287.8744
265.5358,287.8164
270.5359,288.7574
264.9841,287.7126
266.342,287.9681
268.6951,288.4109
268.6503,288.4025
271.2102,289.793
272.734,290.2622
270.9146,288.8286
271.6746,288.9716
272.0056,289.0339
272.5126,290.194
272.1913,290.0951
275.8993,289.7666
283.8197,296.6162
287.1501,297.6419
285.1609,297.0293
285.571,297.1556
285.4059,297.1047
286.9731,297.5874
286.0468,297.3021
286.8071,297.5363
285.3879,297.0992
286.0671,297.3083
285.6399,297.1768
287.1501,297.6419
285.5023,297.1344
286.8441,297.5476
287.0132,297.5997
287.7104,294.8744
287.7104,294.8744
287.7104,294.8744
347.2022,309.147
344.6093,309.6528
343.5496,309.8596
343.2399,309.92
347.2022,309.147
347.2022,309.147
347.2022,309.147
351.5293,308.744
347.2022,309.147
347.2022,309.147
347.3959,309.129
351.5293,308.744
348.709,309.0067
347.4932,309.1199
348.1326,309.0604
348.0817,309.0651
351.5293,308.744
351.5293,308.744
355.8889,308.7456
353.1698,322.1908
353.2015,322.1304
352.2589,323.0558
352.2393,323.0188
408.9146,216.4579
406.6612,219.2708
406.6688,219.2643
406.6821,219.253
406.6779,219.254
405.5412,219.8262
405.2275,218.6612
405.2247,218.6473
409.1794,218.225
409.1702,218.2191
405.7945,217.4069
405.7882,217.4016
405.7782,217.3961
405.7662,217.3909
405.7532,217.3873
405.7403,217.3847
405.7221,217.3815
405.7053,217.3797
405.6901,217.3761
405.68,217.3726
405.6783,217.3731
410.5637,220.6079
410.5676,220.5775
410.5647,220.5806
410.5635,220.5744
409.0368,218.2806
409.0306,218.2672
405.6544,217.4449
405.0607,218.6827
405.0598,218.678
405.0513,218.6723
405.0468,218.6493
405.0447,218.6411
405.0449,218.6409
410.1676,217.2604
405.0416,218.6413
406.6071,216.1802
405.0318,218.6303
410.1639,217.2457
410.1551,217.2372
410.1506,217.2312
405.0149,218.5848
405.0142,218.5695
409.0128,218.2203
405.0165,218.5557
409.0192,218.2085
410.1469,217.1979
410.1475,217.1977
410.1503,217.1989
405.0296,218.5548
409.0296,218.2123
405.5892,217.3487
405.5883,217.3416
405.5841,217.3332
405.5733,217.324
405.5632,217.3131
405.5554,217.304
405.5495,217.2898
405.5421,217.2812
405.5288,217.2625
405.5271,217.2641
405.5077,217.2546
405.493,217.2493
